metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
mae,2.071985889056321,1.7689727693682245,2.4072549846140014,3000,200,RF,segmento_tramo_real,urgente,0-2
rmse,3.062172755738523,2.531202762120952,3.6059831573559045,3000,200,RF,segmento_tramo_real,urgente,0-2
medae,1.3676601391068872,1.0895117089876467,1.5533846544733847,3000,200,RF,segmento_tramo_real,urgente,0-2
me_sesgo_pred_menos_real,1.980894911642683,1.67364389760425,2.327334520889884,3000,200,RF,segmento_tramo_real,urgente,0-2
pup_subestimacion,0.09,0.05,0.13,3000,200,RF,segmento_tramo_real,urgente,0-2
mae_asimetrico_alpha_2,2.1175313777631404,1.8172522685574277,2.445875361322006,3000,200,RF,segmento_tramo_real,urgente,0-2
pct_error_abs_le_1d,0.41,0.34,0.48,3000,200,RF,segmento_tramo_real,urgente,0-2
pct_error_abs_le_3d,0.77,0.705,0.825,3000,200,RF,segmento_tramo_real,urgente,0-2
pct_error_abs_le_7d,0.955,0.925,0.98,3000,200,RF,segmento_tramo_real,urgente,0-2
precision_plos_14,,,,3000,200,RF,segmento_tramo_real,urgente,0-2
recall_plos_14,,,,3000,200,RF,segmento_tramo_real,urgente,0-2
f1_plos_14,,,,3000,200,RF,segmento_tramo_real,urgente,0-2
accuracy_plos_14,1.0,1.0,1.0,3000,200,RF,segmento_tramo_real,urgente,0-2
n_plos_real_14,0.0,,,3000,200,RF,segmento_tramo_real,urgente,0-2
n_plos_pred_14,0.0,,,3000,200,RF,segmento_tramo_real,urgente,0-2
tn_plos_14,200.0,,,3000,200,RF,segmento_tramo_real,urgente,0-2
fp_plos_14,0.0,,,3000,200,RF,segmento_tramo_real,urgente,0-2
fn_plos_14,0.0,,,3000,200,RF,segmento_tramo_real,urgente,0-2
tp_plos_14,0.0,,,3000,200,RF,segmento_tramo_real,urgente,0-2
mae,2.3983437638129943,1.970999990074136,2.9220289788246796,3000,179,RF,segmento_tramo_real,urgente,3-6
