scope,modelo,alcance,segmento,tramo_real,n,coverage_aparente,width_mean,width_median,lower_mean,upper_mean
segmento,XGB,segmento_tramo_real,programado,7-13,110,0.6454545454545455,7.279435580727268,7.292084219999998,4.531457501999999,11.810893082727267
segmento,XGB,segmento_tramo_real,urgente,0-2,200,0.98,19.243444489499996,18.688197549999998,0.15331714374999997,19.396761633249998
segmento,XGB,segmento_tramo_real,urgente,14+ (PLOS),180,0.7111111111111111,24.83720912833333,25.712212699999995,13.239490356666668,38.076699485
segmento,XGB,segmento_tramo_real,urgente,3-6,179,0.9441340782122905,20.832246023184354,20.12100335,0.5825876100558658,21.414833633240224
segmento,XGB,segmento_tramo_real,urgente,7-13,139,0.9712230215827338,22.97778529928058,23.10570405,1.3017545125899277,24.279539811870503
pred_tramo,LR,global,todos,todos,2391,0.8987871183605186,15.66320611134474,12.963147799086194,3.4837907137276907,19.14699682507243
pred_tramo,RF,global,todos,todos,2391,0.8979506482643246,12.56999160598753,9.458035999309102,1.4557863647011655,14.025777970688695
pred_tramo,XGB,global,todos,todos,2391,0.8979506482643246,11.890839410052692,9.258450539999997,1.6858361498578003,13.576675559910493
pred_tramo,LR,tramo_real,todos,0-2,1183,0.9137785291631445,6.7534200631261685,3.753719193951512,0.43685449675950516,7.190274559885673
pred_tramo,LR,tramo_real,todos,14+ (PLOS),279,0.6881720430107527,48.82097242157335,36.37534805828143,24.676550686710282,73.49752310828363
pred_tramo,LR,tramo_real,todos,3-6,680,0.9514705882352941,14.522253029643787,13.11606709466055,0.9411287616719364,15.463381791315726
pred_tramo,LR,tramo_real,todos,7-13,249,0.9196787148594378,23.95681330028224,32.72879370111956,1.1575081418768258,25.11432144215906
pred_tramo,RF,tramo_real,todos,0-2,1183,0.9087066779374472,5.426914248576289,3.1675309973947936,0.4975602753666329,5.924474523942923
pred_tramo,RF,tramo_real,todos,14+ (PLOS),279,0.7921146953405018,39.887795706196684,52.38107545452853,6.484973050709702,46.37276875690639
pred_tramo,RF,tramo_real,todos,3-6,680,0.9294117647058824,10.84407957663303,9.669040209015249,0.9277917375112631,11.771871314144292
pred_tramo,RF,tramo_real,todos,7-13,249,0.8795180722891566,20.611009075144977,9.66904020901525,1.8151226087794936,22.426131683924474
pred_tramo,XGB,tramo_real,todos,0-2,1183,0.9129332206255283,5.125270577367709,3.04995561,0.5314843894336432,5.656754966801351
pred_tramo,XGB,tramo_real,todos,14+ (PLOS),279,0.7526881720430108,38.2080282216487,47.232821999999956,8.057057176594983,46.2650853982437
pred_tramo,XGB,tramo_real,todos,3-6,680,0.9294117647058824,10.287899527779409,9.258450539999998,1.0489604043235294,11.33685993210294
pred_tramo,XGB,tramo_real,todos,7-13,249,0.9036144578313253,18.923656159357424,9.258450539999998,1.7705870457831325,20.69424320514056
pred_tramo,LR,segmento,programado,todos,1693,0.9385705847607797,12.01346834419691,12.549865443906214,0.7752783661123349,12.788746710309242
pred_tramo,LR,segmento,urgente,todos,698,0.8022922636103151,24.51565029441247,13.11606709466055,10.053291293258921,34.5689415876714
pred_tramo,RF,segmento,programado,todos,1693,0.928529238038984,9.207552746115619,8.97115584822173,0.9420223590945153,10.149575105210134
pred_tramo,RF,segmento,urgente,todos,698,0.8237822349570201,20.72559187785451,9.66904020901525,2.7019216963516794,23.427513574206188
pred_tramo,XGB,segmento,programado,todos,1693,0.9308919078558772,8.834634559829293,8.907838299999998,1.1315783784347315,9.966212938264027
pred_tramo,XGB,segmento,urgente,todos,698,0.8180515759312321,19.303668652786524,9.258450539999998,3.030189168510029,22.333857821296554
pred_tramo,LR,segmento_tramo_real,programado,0-2,983,0.9501525940996948,6.130008864777738,3.753719193951512,0.3921618688315351,6.522170733609275
pred_tramo,LR,segmento_tramo_real,programado,14+ (PLOS),99,0.7070707070707071,49.2022989264619,37.78895677642161,3.718852296798978,52.92115122326089
pred_tramo,LR,segmento_tramo_real,programado,3-6,501,0.9660678642714571,13.8626554808923,13.11606709466055,0.8728609814295857,14.735516462321884
