metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
recall_plos_14,0.5376344086021505,0.4767025089605735,0.5949820788530465,3000,279,RF,tramo_real,todos,14+ (PLOS)
f1_plos_14,0.6993006993006993,0.6456310679611651,0.746067415730337,3000,279,RF,tramo_real,todos,14+ (PLOS)
accuracy_plos_14,0.5376344086021505,0.4767025089605735,0.5949820788530465,3000,279,RF,tramo_real,todos,14+ (PLOS)
n_plos_real_14,279.0,,,3000,279,RF,tramo_real,todos,14+ (PLOS)
n_plos_pred_14,150.0,,,3000,279,RF,tramo_real,todos,14+ (PLOS)
tn_plos_14,0.0,,,3000,279,RF,tramo_real,todos,14+ (PLOS)
fp_plos_14,0.0,,,3000,279,RF,tramo_real,todos,14+ (PLOS)
fn_plos_14,129.0,,,3000,279,RF,tramo_real,todos,14+ (PLOS)
tp_plos_14,150.0,,,3000,279,RF,tramo_real,todos,14+ (PLOS)
mae,0.7935112336720204,0.7163937862426036,0.8802683148919274,3000,1183,XGB,tramo_real,todos,0-2
rmse,1.6207660482170467,1.298929284625162,1.9620399105860542,3000,1183,XGB,tramo_real,todos,0-2
medae,0.4753658999999999,0.4524382,0.49744140000000003,3000,1183,XGB,tramo_real,todos,0-2
me_sesgo_pred_menos_real,0.704149508035503,0.625560450231699,0.7942059470516484,3000,1183,XGB,tramo_real,todos,0-2
pup_subestimacion,0.17159763313609466,0.1496196111580727,0.19103972950126796,3000,1183,XGB,tramo_real,todos,0-2
mae_asimetrico_alpha_2,0.8381920964902789,0.7606236499737109,0.9240138849401521,3000,1183,XGB,tramo_real,todos,0-2
pct_error_abs_le_1d,0.7945900253592562,0.7709213863060017,0.8174133558748944,3000,1183,XGB,tramo_real,todos,0-2
pct_error_abs_le_3d,0.9636517328825022,0.9526627218934911,0.9746407438715131,3000,1183,XGB,tramo_real,todos,0-2
pct_error_abs_le_7d,0.9923922231614539,0.9864750633981403,0.9966187658495351,3000,1183,XGB,tramo_real,todos,0-2
precision_plos_14,0.0,0.0,0.0,3000,1183,XGB,tramo_real,todos,0-2
recall_plos_14,,,,3000,1183,XGB,tramo_real,todos,0-2
f1_plos_14,,,,3000,1183,XGB,tramo_real,todos,0-2
accuracy_plos_14,0.9966187658495351,0.9923922231614539,0.9991546914623838,3000,1183,XGB,tramo_real,todos,0-2
n_plos_real_14,0.0,,,3000,1183,XGB,tramo_real,todos,0-2
n_plos_pred_14,4.0,,,3000,1183,XGB,tramo_real,todos,0-2
tn_plos_14,1179.0,,,3000,1183,XGB,tramo_real,todos,0-2
fp_plos_14,4.0,,,3000,1183,XGB,tramo_real,todos,0-2
fn_plos_14,0.0,,,3000,1183,XGB,tramo_real,todos,0-2
tp_plos_14,0.0,,,3000,1183,XGB,tramo_real,todos,0-2
mae,1.5665384663235296,1.4154321253088236,1.7264242663970588,3000,680,XGB,tramo_real,todos,3-6
rmse,2.6294440802339762,2.2327894833788777,3.0358712434814383,3000,680,XGB,tramo_real,todos,3-6
medae,0.9859315,0.9156468,1.0591453875,3000,680,XGB,tramo_real,todos,3-6
me_sesgo_pred_menos_real,-0.22349578044117643,-0.4114078707830882,-0.01704456313602937,3000,680,XGB,tramo_real,todos,3-6
pup_subestimacion,0.6867647058823529,0.65,0.7205882352941176,3000,680,XGB,tramo_real,todos,3-6
mae_asimetrico_alpha_2,2.4615555897058825,2.2793702976985295,2.6459056213125,3000,680,XGB,tramo_real,todos,3-6
pct_error_abs_le_1d,0.5044117647058823,0.4676470588235294,0.5426470588235294,3000,680,XGB,tramo_real,todos,3-6
pct_error_abs_le_3d,0.8911764705882353,0.8661764705882353,0.9147058823529411,3000,680,XGB,tramo_real,todos,3-6
pct_error_abs_le_7d,0.9720588235294118,0.9588235294117647,0.9838235294117647,3000,680,XGB,tramo_real,todos,3-6
