p_code;p_caract_3;p_caract_1;grupo_final;nivel_agrupacion;pacientes_p_code;pacientes_p_caract_3;pacientes_p_caract_1
HZ89ZZZ;HZ8;H;rare_sec_H;seccion_rare;4;17;42
00BC0ZZ;00B;0;00B;categoria_3_char;2;30;9118
3E1F88X;3E1;3;3E1;categoria_3_char;3;63;2182
DBY67ZZ;DBY;D;rare_sec_D;seccion_rare;1;3;33
0HRLXK4;0HR;0;0HR;categoria_3_char;3;92;9118
001U0J6;001;0;rare_sec_0;seccion_rare;1;8;9118
0B957ZX;0B9;0;0B9;categoria_3_char;1;111;9118
0B9H7ZX;0B9;0;0B9;categoria_3_char;1;111;9118
0W9D40Z;0W9;0;0W9;categoria_3_char;1;291;9118
0F768ZZ;0F7;0;0F7;categoria_3_char;1;61;9118
0PSD04Z;0PS;0;0PS;categoria_3_char;4;181;9118
0QP004Z;0QP;0;0QP;categoria_3_char;3;78;9118
0HX0XZZ;0HX;0;rare_sec_0;seccion_rare;1;11;9118
047M3ZZ;047;0;047;categoria_3_char;1;164;9118
081X0J3;081;0;rare_sec_0;seccion_rare;1;5;9118
B31DZZZ;B31;B;B31;categoria_3_char;1;48;1410
0LQ80ZZ;0LQ;0;0LQ;categoria_3_char;2;45;9118
0D718ZZ;0D7;0;0D7;categoria_3_char;3;20;9118
0DBB4ZX;0DB;0;0DB;categoria_3_char;1;882;9118
0JH63XZ;0JH;0;0JH;categoria_3_char;2;219;9118
0JPT3XZ;0JP;0;0JP;categoria_3_char;1;48;9118
0WBH4ZX;0WB;0;rare_sec_0;seccion_rare;1;14;9118
0PSV04Z;0PS;0;0PS;categoria_3_char;2;181;9118
0DBC8ZX;0DB;0;0DB;categoria_3_char;4;882;9118
BW40ZZZ;BW4;B;rare_sec_B;seccion_rare;1;3;1410
0TBB0ZZ;0TB;0;0TB;categoria_3_char;2;153;9118
04V00D6;04V;0;04V;categoria_3_char;1;30;9118
0RNG0ZZ;0RN;0;rare_sec_0;seccion_rare;1;12;9118
0SPD0JZ;0SP;0;0SP;categoria_3_char;2;39;9118
0LM14ZZ;0LM;0;rare_sec_0;seccion_rare;2;19;9118
0LQ14ZZ;0LQ;0;0LQ;categoria_3_char;2;45;9118
0SNG4ZZ;0SN;0;rare_sec_0;seccion_rare;1;4;9118
BH3DYZZ;BH3;B;rare_sec_B;seccion_rare;1;1;1410
0JQ80ZZ;0JQ;0;0JQ;categoria_3_char;1;40;9118
