segmento,precision,recall,thresholds
global,0.12722298221614228,1.0,0.0021328838
global,0.1272810218978102,1.0,0.0021375034
global,0.12745545911375056,1.0,0.002137666
global,0.12751371115173674,1.0,0.0021384892
global,0.1279229711141678,1.0,0.0021558518
global,0.12798165137614678,1.0,0.0021562602
global,0.12804038549793484,1.0,0.002161032
global,0.128099173553719,1.0,0.0021755386
global,0.12863070539419086,1.0,0.002180713
global,0.128690036900369,1.0,0.0021988938
global,0.12886836027713625,1.0,0.0022034957
global,0.1289279112754159,1.0,0.0022464723
global,0.1289875173370319,1.0,0.0022479927
global,0.12904717853839037,1.0,0.002255601
global,0.12916666666666668,1.0,0.002257973
global,0.12922649374710515,1.0,0.002283481
global,0.12928637627432807,1.0,0.0022875618
global,0.12934631432545202,1.0,0.0022906426
global,0.12940630797773656,1.0,0.002314101
global,0.1294663573085847,1.0,0.0023197124
global,0.12964684014869887,1.0,0.0023296368
global,0.1297071129707113,1.0,0.0023339288
global,0.12976744186046513,1.0,0.0023355847
global,0.12988826815642457,1.0,0.0023607959
global,0.13000931966449208,1.0,0.0023761673
global,0.13006993006993006,1.0,0.002399947
global,0.13013059701492538,1.0,0.0024127606
global,0.1301913205786281,1.0,0.002425139
global,0.13025210084033614,1.0,0.0024308898
global,0.13031293787949555,1.0,0.0024469353
global,0.13055685540477305,1.0,0.0024479576
global,0.1306179775280899,1.0,0.002449642
global,0.1306791569086651,1.0,0.002453462
global,0.13074039362699155,1.0,0.0024627962
global,0.1308016877637131,1.0,0.00247007
global,0.13086303939962476,1.0,0.0024904227
global,0.1309244486156734,1.0,0.0024952996
global,0.13098591549295774,1.0,0.0025128853
global,0.13104744011272898,1.0,0.0025210883
global,0.13110902255639098,1.0,0.0025220253
global,0.1311706629055007,1.0,0.0025253068
global,0.13123236124176857,1.0,0.0025264998
global,0.1312941176470588,1.0,0.0025294311
global,0.13135593220338984,1.0,0.0025307504
global,0.13154172560113153,1.0,0.0025421218
global,0.13160377358490566,1.0,0.0025433844
global,0.13172804532577903,1.0,0.0025539196
global,0.13179026924893716,1.0,0.0025562102
global,0.13191489361702127,1.0,0.0025583885
global,0.13197729422894985,1.0,0.0025585894
global,0.1320397539044013,1.0,0.0025624987
global,0.13210227272727273,1.0,0.0025649203
global,0.13216485078162007,1.0,0.002570599
global,0.13222748815165877,1.0,0.002571362
global,0.13229018492176386,1.0,0.002580801
global,0.1323529411764706,1.0,0.0025841382
