modelo,alcance,segmento,tramo_real,metrica,valor,ic95_inf,ic95_sup,n_boot,n,segmento_folder,segmento_key,segmento_label
XGB,tramo_real,todos,3-6,recall_plos_14,0.0,0.0,0.0,2000,179,urgente,urgente,Urgencia
XGB,tramo_real,todos,3-6,rmse,3.970708330875734,3.0510481442220994,4.889050084300637,2000,179,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,f1_plos_14,0.0,0.0,0.0,2000,139,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,mae,6.075868655088434,4.870479957235375,7.65343288976764,2000,139,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,mae_asimetrico_alpha_2,9.13807494873262,7.764010268160564,10.82137948617099,2000,139,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,me,-0.0485439321999423,-1.7433127796594297,1.8680014505326827,2000,139,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,medae,4.599768388576297,3.4836171536506924,5.420409923898703,2000,139,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,precision_plos_14,0.0,0.0,0.0,2000,139,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,pup,0.6762589928057554,0.5971223021582733,0.7553956834532374,2000,139,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,recall_plos_14,0.0,0.0,0.0,2000,139,urgente,urgente,Urgencia
LR,tramo_real,todos,7-13,rmse,10.697280833842273,6.35148703843802,15.697445742122383,2000,139,urgente,urgente,Urgencia
XGB,tramo_real,todos,7-13,f1_plos_14,0.0,0.0,0.0,2000,139,urgente,urgente,Urgencia
XGB,tramo_real,todos,7-13,mae,3.8933502525179855,3.4857430011510795,4.334437118543165,2000,139,urgente,urgente,Urgencia
XGB,tramo_real,todos,7-13,mae_asimetrico_alpha_2,6.476443898561151,5.778615045161871,7.208500872176258,2000,139,urgente,urgente,Urgencia
XGB,tramo_real,todos,7-13,me,-1.2728370395683457,-2.0001579266906475,-0.4740890467805754,2000,139,urgente,urgente,Urgencia
XGB,tramo_real,todos,7-13,medae,3.485024,2.9764265825000003,3.8506837,2000,139,urgente,urgente,Urgencia
XGB,tramo_real,todos,7-13,precision_plos_14,0.0,0.0,0.0,2000,139,urgente,urgente,Urgencia
XGB,tramo_real,todos,7-13,pup,0.6690647482014388,0.5899280575539568,0.7482014388489209,2000,139,urgente,urgente,Urgencia
XGB,tramo_real,todos,7-13,recall_plos_14,0.0,0.0,0.0,2000,139,urgente,urgente,Urgencia
XGB,tramo_real,todos,7-13,rmse,4.653886148988881,4.109749036284971,5.161776600397577,2000,139,urgente,urgente,Urgencia
LR,tramo_real,todos,14+ (PLOS),f1_plos_14,0.6715867158671587,0.6046511627906976,0.732394366197183,2000,180,urgente,urgente,Urgencia
LR,tramo_real,todos,14+ (PLOS),mae,130.57964168459338,48.49745661737663,231.30064137745745,2000,180,urgente,urgente,Urgencia
LR,tramo_real,todos,14+ (PLOS),mae_asimetrico_alpha_2,141.8056543579206,61.53654965118141,245.9782431655865,2000,180,urgente,urgente,Urgencia
LR,tramo_real,todos,14+ (PLOS),me,108.12761633793905,24.720471841423077,210.2238009242841,2000,180,urgente,urgente,Urgencia
LR,tramo_real,todos,14+ (PLOS),medae,15.73259532910414,13.352363495983594,19.83441906722897,2000,180,urgente,urgente,Urgencia
LR,tramo_real,todos,14+ (PLOS),precision_plos_14,1.0,1.0,1.0,2000,180,urgente,urgente,Urgencia
LR,tramo_real,todos,14+ (PLOS),pup,0.65,0.5777777777777777,0.7112499999999993,2000,180,urgente,urgente,Urgencia
LR,tramo_real,todos,14+ (PLOS),recall_plos_14,0.5055555555555555,0.4277777777777777,0.5777777777777777,2000,180,urgente,urgente,Urgencia
LR,tramo_real,todos,14+ (PLOS),rmse,658.5437399330634,188.62724672227316,1010.3163816783348,2000,180,urgente,urgente,Urgencia
XGB,tramo_real,todos,14+ (PLOS),f1_plos_14,0.7234042553191489,0.6617100371747212,0.7837837837837839,2000,180,urgente,urgente,Urgencia
XGB,tramo_real,todos,14+ (PLOS),mae,13.225735753888893,11.369995259402778,15.312196516055554,2000,180,urgente,urgente,Urgencia
XGB,tramo_real,todos,14+ (PLOS),mae_asimetrico_alpha_2,24.191290435555555,20.606595373305556,28.07504073363889,2000,180,urgente,urgente,Urgencia
XGB,tramo_real,todos,14+ (PLOS),me,-8.705373609444445,-11.146217774222222,-6.280356648388892,2000,180,urgente,urgente,Urgencia
XGB,tramo_real,todos,14+ (PLOS),medae,10.47771985,8.8053435,11.7028545,2000,180,urgente,urgente,Urgencia
XGB,tramo_real,todos,14+ (PLOS),precision_plos_14,1.0,1.0,1.0,2000,180,urgente,urgente,Urgencia
XGB,tramo_real,todos,14+ (PLOS),pup,0.7944444444444444,0.7333333333333333,0.8555555555555555,2000,180,urgente,urgente,Urgencia
XGB,tramo_real,todos,14+ (PLOS),recall_plos_14,0.5666666666666667,0.4944444444444444,0.6388888888888888,2000,180,urgente,urgente,Urgencia
XGB,tramo_real,todos,14+ (PLOS),rmse,18.800729984081507,14.74917151956442,22.86796313478617,2000,180,urgente,urgente,Urgencia
